_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
69ec7ad0-7d2f-11e7-9a24-b5e99625ae40,1-062f44a18dd01f9709d06541f58a0b92,WSV2,Rekhasim,sensorData,json,2017-08-09T18:20:25.213Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.2,2017-08-09,18:20:25.213Z
69edda60-7d2f-11e7-a390-95eec430254a,1-029fb6e532138b15743a52e145ae18ce,WS,Kiryat-Ata,sensorData,json,2017-08-09T18:20:25.222Z,10.1,-1.6,7.6,21.26,0.3,298,24,70.5,0,53,11.4,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:25.222Z
69f22020-7d2f-11e7-9090-b7e1210e708b,1-c61faf9625fc16b39572f10551d33fac,WS,Neve-Shaanan,sensorData,json,2017-08-09T18:20:25.250Z,14.6,-0.3,14,,0.3,175,,,-0.7,44,,18.4,0,-0.5,-0.09,0,,,,,,,,,,,,,,,,2017-08-09,18:20:25.250Z
69f94c10-7d2f-11e7-8253-f5ddc2e07eee,1-b6c89f834d688f54f22c852b0fb5dce3,WS,Daliat-el-Carmel,sensorData,json,2017-08-09T18:20:25.297Z,,,,10.91,0.6,121,,,0.6,,13.3,,-0.2,0.3,-0.21,,20.5,1,,,,,,,,,,,,,,2017-08-09,18:20:25.297Z
6a007801-7d2f-11e7-a390-95eec430254a,1-9553eb37a902f0405dc305da6243326f,WS,Ahuza,sensorData,json,2017-08-09T18:20:25.344Z,9.8,2.7,14,17.75,0.3,129,22.3,43.1,-0.1,20,13.5,29.3,,,,,23.2,,45,15.8,1002,0,9.4,,,,,,,,,2017-08-09,18:20:25.344Z
6a0951a0-7d2f-11e7-9a24-b5e99625ae40,1-af35b459fae4a94b051a6532713e7b66,WS,Shprintsak,sensorData,json,2017-08-09T18:20:25.402Z,1.8,0,1.8,,,,25.6,92.4,-1.6,15,8.1,12.6,,,,,22.8,,3,4.5,1004,0,,,,,,,,,,2017-08-09,18:20:25.402Z
6a0de580-7d2f-11e7-abea-cbef7d55e47b,1-78dab7217ca23829fb5d45498036f907,WS,Kiryat-Motzkin,sensorData,json,2017-08-09T18:20:25.432Z,,,,,2.1,242,21,76.4,-0.1,5,5.5,,,,,,22.4,,41,-28,983,0,39.5,0.26,74,,,,,,,2017-08-09,18:20:25.432Z
6a13d8f0-7d2f-11e7-be4c-3f727278eaa3,1-9ac22ff53c42cd6dd99710e96d53d949,WS,Kiryat-Yam,sensorData,json,2017-08-09T18:20:25.471Z,8,0,7,4.06,1.3,127,27.2,63,-0.3,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:25.471Z
6a19f370-7d2f-11e7-8253-f5ddc2e07eee,1-0b0b8fa87925486a399d6fa7197b131f,WS,Kiryat-Hayim-Regavim,sensorData,json,2017-08-09T18:20:25.511Z,-0.1,-0.2,-0.5,4.13,0.6,275,25.6,,0,,,,,,,,21.7,,,,,,,,62,,,,,,,2017-08-09,18:20:25.511Z
6a2a9540-7d2f-11e7-a9e4-4d653ae9914c,1-0b170391adfd183dd8e46af9a7f30524,WS,Nesher,sensorData,json,2017-08-09T18:20:25.620Z,26.1,0.1,26.4,54.37,0.6,175,23.1,50.9,1.5,17,,23.5,0.1,0.1,0.13,2.8,22.8,,,,,0,,,61,,,,,,,2017-08-09,18:20:25.620Z
6a30afc0-7d2f-11e7-89bf-73f282b91553,1-447651a7b9bfe113cfc214810c42c665,WS,Kfar-Hasidim,sensorData,json,2017-08-09T18:20:25.660Z,2.3,-0.7,1.1,12.17,0.5,196,24.4,,0.4,,15,19,,,,,,,30,,,,,,,3,0,2,0.24,,,2017-08-09,18:20:25.660Z
6a389f00-7d2f-11e7-a9e4-4d653ae9914c,1-25eb5b8f46849341bc8edb1171950624,WS,Einstein,sensorData,json,2017-08-09T18:20:25.712Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:25.712Z
6af6bee0-7d2f-11e7-b9c3-dbb5dc85f138,1-c62ce394790ebb60ba2b5876df7dedbb,WS,Old-Market,sensorData,json,2017-08-09T18:20:26.958Z,1.8,0,1.9,13.88,1.2,178,23.9,53.3,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:26.958Z
6b00d100-7d2f-11e7-a9e4-4d653ae9914c,1-a7e85955781d11d5c99ad03b53084a65,WS,Kiryat-Tivon,sensorData,json,2017-08-09T18:20:27.024Z,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:27.024Z
